name,_id,host_name,location_cluster,location,lat,lon,type_house,sum,min_days,amt_reviews,last_dt,avg_reviews,total_host,target
Belle Harbor 4 BR 2 bath- 1 bl from Beach,40327248,Sarina,Queens,Neponsit,40.57215,-73.85822,Entire home/apt,350,2,5,2019-07-07,2.88,1,334
"Come see Brooklyn, New York",13617520,Howard T.,Brooklyn,Clinton Hill,40.69172,-73.96934,Shared room,40,5,8,2015-02-25,0.13,1,0
Large 2Br on W71st & Columbus Feb 19-28,26754726,Julie,Manhattan,Upper West Side,40.77673,-73.98011,Entire home/apt,200,5,0,,,1,0
Perfect bedroom. Near Subways Columbia CityCollege,16721721,Federico,Manhattan,Harlem,40.8153,-73.9508,Private room,65,2,18,2018-11-04,0.64,1,0
Cozy Sun Filled Fresh Guest Room in Artsy Bushwick,22246463,Lisa,Brooklyn,Bushwick,40.7023,-73.92935,Private room,99,2,26,2019-06-23,0.76,1,155
Comfortable Duplex Studio with Balcony! Near train,120643397,Rachel,Brooklyn,Midwood,40.62258,-73.97398,Entire home/apt,139,2,41,2019-07-07,3.7,1,62
Simple PRIVATE ROOM in UNION SQUARE,88073013,Rui,Manhattan,Gramercy,40.73421,-73.98834,Private room,85,2,47,2019-06-04,1.32,1,18
RENOVATED 2 BEDROOM APT NEAR CENTRAL PARK WEST,9293730,Inna,Manhattan,Upper West Side,40.79638,-73.96332,Entire home/apt,125,30,1,2018-08-04,0.09,16,284
"Charming, spacious UES studio",19529891,Shilpa,Manhattan,Upper East Side,40.7687,-73.9556,Entire home/apt,135,3,0,,,1,0
Beautiful garden apartment,88111418,Micheline,Queens,St. Albans,40.69113,-73.75524,Entire home/apt,70,3,12,2019-06-20,1.31,1,323
Brooklyn private luxury room with private bathroom,11460365,Alan,Brooklyn,Bedford-Stuyvesant,40.67844,-73.93831,Private room,200,1,14,2019-02-17,1.24,1,22
Sonder | Wall Street | Simple 1BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70721,-74.01044,Entire home/apt,252,2,12,2019-06-19,3.03,327,302
Charming West Village Studio,39541748,Marcello,Manhattan,West Village,40.73764,-73.99887,Entire home/apt,185,3,4,2015-09-18,0.08,1,0
"BKlyn:Artsy, old fashioned at affordable price !",5151544,Ale,Brooklyn,Cypress Hills,40.68148,-73.8904,Entire home/apt,63,4,54,2019-07-07,1.71,1,344
Cute & Comfy Williamsburg Refuge,3826160,Josh & Chris,Brooklyn,Williamsburg,40.71032,-73.9517,Private room,80,1,215,2019-06-29,4.68,1,232
Next to Central Park,2653479,Brian,Manhattan,Upper West Side,40.79505,-73.96382,Private room,90,2,2,2019-04-17,0.59,4,43
Apartment with terrasse greenpoint brooklyn,1818225,Amael,Brooklyn,Greenpoint,40.72212,-73.9378,Entire home/apt,80,3,0,,,1,0
Cozy Corner In Heart of Manhattan,155125855,Vicente,Manhattan,Midtown,40.74669,-73.98311,Shared room,65,1,76,2018-09-12,3.97,3,0
Apartment in Centre of New York City,36938850,Luke,Manhattan,Hell's Kitchen,40.76591,-73.99155,Entire home/apt,150,30,1,2019-06-21,1.0,1,15
Huge Sunny Private Room in Bushwick,26260328,Alec,Brooklyn,Bushwick,40.70206,-73.91342,Private room,45,7,1,2016-02-16,0.02,1,0
Sun-drenched Executive Suite 1,215387072,Mr. G,Brooklyn,Bedford-Stuyvesant,40.68062,-73.91251,Private room,80,5,12,2019-07-02,1.28,3,354
Charming Bedroom in Cozy NYC Apt.,22350590,Veronica,Manhattan,Harlem,40.82351,-73.94047,Private room,85,10,57,2019-06-10,1.03,1,6
Premium Spot for female. Close to subway & Park,156114168,Kateryna,Brooklyn,Prospect-Lefferts Gardens,40.66049,-73.96162,Shared room,40,1,0,,,6,211
Relaxing Retreat in Williamsburg,34236533,Stan,Brooklyn,Williamsburg,40.70851,-73.94244,Private room,130,5,102,2019-07-01,2.48,1,288
Spacious 1BR Williamsburg Apartment,18994094,Kailei,Brooklyn,Williamsburg,40.71214,-73.95837,Entire home/apt,175,2,28,2019-04-22,0.7,1,0
Beautiful Lower East Side 1 Bedroom Loft,7737249,Casandra,Manhattan,Chinatown,40.71558,-73.99136,Entire home/apt,325,30,76,2019-05-05,3.27,2,294
Super Cozy Room in Floor Through Apartment,5532810,Sandy,Brooklyn,Williamsburg,40.71731,-73.943,Private room,50,2,42,2018-11-24,1.33,2,244
Cozy Doorman! On Broadway!Gym 5111,16098958,Jeremy & Laura,Manhattan,Upper West Side,40.7918,-73.97413,Entire home/apt,135,30,6,2019-05-15,0.16,96,311
Prime East Village 1 Bedroom,146944,David,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,,,1,0
"LOVELY 1 BEDROOM APT, BATH + KIT+ LIVING ROOM",10355206,Rosa,Queens,Ridgewood,40.70493,-73.90795,Entire home/apt,75,30,64,2015-11-02,0.95,1,178
Private Bedroom in Midtown West with River View,18567068,Evelyn,Manhattan,Hell's Kitchen,40.76201,-73.99876,Private room,150,3,4,2018-07-09,0.31,1,0
5 min walk to Times Square! Sleeps 4!,8208493,Teresa,Manhattan,Hell's Kitchen,40.76235,-73.98872,Entire home/apt,175,1,179,2019-07-07,5.71,1,116
Great room for students and tourists,127583166,Maite,Manhattan,Washington Heights,40.8398,-73.94384,Private room,55,21,8,2018-11-18,0.52,2,38
"Relaxing, comfy, and stress-free apartment.",138962369,Eugenia,Bronx,Edenwald,40.89039,-73.83186,Entire home/apt,50,3,8,2019-07-07,3.04,1,34
Astoria Queens great room for rent!,24109809,Jonathon,Queens,Astoria,40.77271,-73.93159,Private room,200,1,0,,,1,0
Modern Upper West Side Luxury!!,9143200,Steven,Manhattan,Upper West Side,40.79466,-73.97173,Entire home/apt,160,3,2,2016-06-13,0.05,1,0
Cozy Escape in the thriving heart of Bed-Stuy,241940624,Beryl,Brooklyn,Bedford-Stuyvesant,40.68529,-73.94028,Entire home/apt,130,2,9,2019-07-07,2.93,1,301
Beautiful Apartment in the Heart of Chelsea,8008110,Erika,Manhattan,Chelsea,40.74672,-74.00187,Entire home/apt,195,6,33,2019-05-20,1.36,1,1
SLEEK WEST VILLAGE ARTIST STUDIO LOFT,2484654,Michele,Manhattan,West Village,40.73214,-74.00188,Entire home/apt,130,4,22,2019-05-26,0.28,1,77
LOVE Central Park Room Private Bath,25517905,Andreias,Manhattan,Upper West Side,40.79632,-73.96225,Private room,99,1,222,2019-06-20,4.56,3,251
"Private, comfy BR in East Village",5904463,Katherine,Manhattan,East Village,40.72504,-73.98242,Private room,100,1,0,,,4,0
Room on the garden in co-op brownstone,6556741,Thomas,Brooklyn,Bedford-Stuyvesant,40.68041,-73.95579,Private room,58,4,0,,,4,29
Cute & Cozy NYC Room - Hell's Kitchen (dog in apt),3576466,Kevin,Manhattan,Hell's Kitchen,40.76422,-73.99382,Private room,75,2,176,2019-06-21,2.22,2,23
2 Bedroom in Hudson Heights ,18051675,Alexandra,Manhattan,Washington Heights,40.85153,-73.93815,Entire home/apt,150,3,0,,,1,0
2br in Manhattan NY ,10577253,Nataly,Manhattan,Harlem,40.81217,-73.95303,Entire home/apt,150,1,3,2016-01-02,0.05,1,0
Studio Apartment in Astoria - Best Location!,50770601,Diana,Queens,Astoria,40.76871,-73.91839,Entire home/apt,169,1,8,2019-04-24,0.62,5,297
Charming Quiet & Bright Studio -LES,23638897,Adrien,Manhattan,Lower East Side,40.71849,-73.98334,Entire home/apt,140,5,2,2018-01-01,0.05,1,0
The Omaric,53560822,Desmond,Manhattan,Harlem,40.82425,-73.9552,Entire home/apt,95,2,49,2019-07-02,1.92,1,14
Bohemian W'Burg Duplex,8677042,Malcolm,Brooklyn,Williamsburg,40.7086,-73.94715,Entire home/apt,241,2,1,2018-12-26,0.15,1,0
NYC Full Studio Walkable to Central Park,5138621,Clare,Manhattan,Upper East Side,40.77619,-73.95106,Entire home/apt,140,2,1,2016-11-07,0.03,1,0
"Sunny, Beautiful, Upper East Side TRUE One Bedroom",23377863,Kristen,Manhattan,Upper East Side,40.78056,-73.95182,Entire home/apt,147,4,9,2019-07-05,0.47,1,7
Warm Cozy Decatur 2F bedroom #4,262033253,Jenny,Brooklyn,Bushwick,40.68747,-73.90977,Private room,70,1,2,2019-06-24,2.0,2,172
Mi hermoso hogar a 4 bloques del AirPort LGA,171107511,Paola,Queens,East Elmhurst,40.76393,-73.86444,Private room,80,2,1,2018-10-07,0.11,1,219
Cozy Garden Apartment in Bushwick!!,24269297,Caitlin,Brooklyn,Bushwick,40.69935,-73.9228,Private room,75,3,41,2019-06-25,0.81,1,294
Amazing Private Room - Custom Style,83809962,Tamara,Brooklyn,East Flatbush,40.66248,-73.92855,Private room,45,1,39,2019-06-12,1.27,2,365
NYC Manhattan Private Room,258247777,Claudio,Manhattan,Harlem,40.81548,-73.94556,Private room,135,3,6,2019-06-10,2.86,3,247
LES Minimalistic Studio,65356318,Tiffani,Manhattan,Lower East Side,40.71891,-73.99095,Entire home/apt,125,4,37,2019-06-15,1.05,1,0
Rose's Brooklyn Oasis - Close to Subway!,268757078,Vinette,Brooklyn,East Flatbush,40.6456,-73.95065,Private room,40,1,1,2019-06-30,1.0,2,151
