name,_id,host_name,location_cluster,location,lat,lon,type_house,sum,min_days,amt_reviews,last_dt,avg_reviews,total_host,target
Belle Harbor 4 BR 2 bath- 1 bl from Beach,40327248.0,Sarina,3,Neponsit,40.57215,-73.85822,0,350.0,2.0,5.0,2019-07-07,2.88,1.0,334.0
"Come see Brooklyn, New York",13617520.0,Howard T.,1,Clinton Hill,40.69172,-73.96934,2,40.0,5.0,8.0,2015-02-25,0.13,1.0,0.0
Large 2Br on W71st & Columbus Feb 19-28,26754726.0,Julie,2,Upper West Side,40.77673,-73.98011,0,200.0,5.0,0.0,2019-06-23,0.72,1.0,0.0
Perfect bedroom. Near Subways Columbia CityCollege,16721721.0,Federico,2,Harlem,40.8153,-73.9508,1,65.0,2.0,18.0,2018-11-04,0.64,1.0,0.0
Cozy Sun Filled Fresh Guest Room in Artsy Bushwick,22246463.0,Lisa,1,Bushwick,40.7023,-73.92935,1,99.0,2.0,26.0,2019-06-23,0.76,1.0,155.0
Comfortable Duplex Studio with Balcony! Near train,120643397.0,Rachel,1,Midwood,40.62258,-73.97398,0,139.0,2.0,41.0,2019-07-07,3.7,1.0,62.0
Simple PRIVATE ROOM in UNION SQUARE,88073013.0,Rui,2,Gramercy,40.73421,-73.98834,1,85.0,2.0,47.0,2019-06-04,1.32,1.0,18.0
RENOVATED 2 BEDROOM APT NEAR CENTRAL PARK WEST,9293730.0,Inna,2,Upper West Side,40.79638,-73.96332,0,125.0,30.0,1.0,2018-08-04,0.09,16.0,284.0
"Charming, spacious UES studio",19529891.0,Shilpa,2,Upper East Side,40.7687,-73.9556,0,135.0,3.0,0.0,2019-06-23,0.72,1.0,0.0
Beautiful garden apartment,88111418.0,Micheline,3,St. Albans,40.69113,-73.75524,0,70.0,3.0,12.0,2019-06-20,1.31,1.0,323.0
Brooklyn private luxury room with private bathroom,11460365.0,Alan,1,Bedford-Stuyvesant,40.67844,-73.93831,1,200.0,1.0,14.0,2019-02-17,1.24,1.0,22.0
Sonder | Wall Street | Simple 1BR + Kitchen,219517861.0,Sonder (NYC),2,Financial District,40.70721,-74.01044,0,252.0,2.0,12.0,2019-06-19,3.03,327.0,302.0
